<<<<<<< HEAD
stf3289;hrv;luh;2025-12-05T14:18:10.945396;2025-12-05T14:19:03.978791;0;10.0
fye6qx;vectra;matheus;2025-12-05T14:20:27.950123;2025-12-05T14:20:44.062993;0;10.0
dsx5169;celta;enzo;2025-12-05T14:16:48.994738;2025-12-05T15:59:17.559790;102;55.0
bet3519;santana;enzo;2025-12-05T14:17:24.396599;2025-12-05T16:21:24.342720;123;15.0
abc3344;mobi;rick;2025-12-05T14:17:49.954903;2025-12-05T16:23:38.002868;125;20.0
dsx3333;mobi;enzo;2025-12-10T13:22:39.987562;2025-12-10T13:22:48.521918;0;10.0
=======
DSX5169 ; CELTA ; DANIEL ; 2025-11-28T16:37:02.871054;2025-12-07T12:50:11.620685900;12733;1070.0
DSX5169;celta;mil;2025-12-07T12:51:07.819749300;2025-12-07T12:52:01.881482800;0;10.0
BTE6931 ; SANTANA ; ENZO ; 2025-11-28T16:37:23.738712;2025-12-07T14:03:46.695199400;12806;1075.0
>>>>>>> 651266f102c3266af5d6fe38b9971b7ff2a86a21
DSX5169;Celta;Daniel;2025-12-05T16:24:42.245827;2025-12-11T14:24:24.671711;8519;715.0
kkkkkkkk;lllllllllllll;sssssssss;2025-12-11T14:16:43.785267;2025-12-11T14:53:32.598906;36;10.0
PLACAEX1;GOL;JP;2025-12-11T14:58:53.280935;2025-12-11T14:59:21.028585;0;10.0
dsvvdv;vsvsdv;svd;2025-12-10T15:50:19.974086;2025-12-11T15:20:40.505872;1410;125.0
dsvvdv;gol;jp;2025-12-11T15:20:59.450789;2025-12-11T15:21:32.587173;0;10.0
PlacaTeste;Monza;SILVA;2025-12-11T15:26:21.520436;2025-12-11T15:26:31.022647;0;10.0
placa;mobi;jp;2025-12-11T15:31:48.440587;2025-12-11T15:31:58.927330;0;10.0
placa;gol;jp;2025-12-11T15:35:36.694648;2025-12-11T15:35:41.759525;0;10.0
placa1;gol;mobi;2025-12-11T15:50:28.193947;2025-12-11T15:50:33.918707;0;10.0
1234;gol;jp;2025-12-11T16:11:49.196882;2025-12-11T16:11:58.090302;0;10.0
12345;golf;jp;2025-12-11T16:12:12.246327;2025-12-11T16:12:42.692646;0;10.0
entradacar;car;jp;2025-12-11T16:39:25.953769;2025-12-11T16:39:31.750976;0;10.0
DSX5169;celta;Daniel;2025-12-11T16:48:42.248550;2025-12-11T16:48:55.865885;0;10.0
BUL5443;gol;JP;2025-12-11T16:49:45.884754;2025-12-11T16:53:44.890714;3;10.0
