<<<<<<< HEAD
stf3289;hrv;luh;2025-12-05T14:18:10.945396;2025-12-05T14:19:03.978791;0;10.0
fye6qx;vectra;matheus;2025-12-05T14:20:27.950123;2025-12-05T14:20:44.062993;0;10.0
dsx5169;celta;enzo;2025-12-05T14:16:48.994738;2025-12-05T15:59:17.559790;102;55.0
bet3519;santana;enzo;2025-12-05T14:17:24.396599;2025-12-05T16:21:24.342720;123;15.0
abc3344;mobi;rick;2025-12-05T14:17:49.954903;2025-12-05T16:23:38.002868;125;20.0
dsx3333;mobi;enzo;2025-12-10T13:22:39.987562;2025-12-10T13:22:48.521918;0;10.0
=======
DSX5169 ; CELTA ; DANIEL ; 2025-11-28T16:37:02.871054;2025-12-07T12:50:11.620685900;12733;1070.0
DSX5169;celta;mil;2025-12-07T12:51:07.819749300;2025-12-07T12:52:01.881482800;0;10.0
BTE6931 ; SANTANA ; ENZO ; 2025-11-28T16:37:23.738712;2025-12-07T14:03:46.695199400;12806;1075.0
>>>>>>> 651266f102c3266af5d6fe38b9971b7ff2a86a21
